in_channels,out_channels,kernel_size,stride,groups,hw
8,8,3,1,1,112
4,8,1,1,1,112
2,8,1,1,1,112
8,8,3,2,1,112
4,8,1,2,1,112
2,8,1,2,1,112
8,8,1,1,1,112
8,2,1,1,1,112
2,8,1,1,1,112
8,8,3,1,1,56
4,8,1,1,1,56
2,8,1,1,1,56
8,8,3,2,1,56
4,8,1,2,1,56
2,8,1,2,1,56
8,8,1,1,1,56
8,2,1,1,1,56
2,8,1,1,1,56
16,16,3,1,2,112
8,16,1,1,1,112
5,16,1,1,1,112
16,16,3,2,2,112
8,16,1,2,1,112
5,16,1,2,1,112
16,16,1,1,1,112
16,4,1,1,1,112
4,16,1,1,1,112
16,16,3,1,2,56
8,16,1,1,1,56
5,16,1,1,1,56
16,16,3,2,2,56
8,16,1,2,1,56
5,16,1,2,1,56
16,16,1,1,1,56
16,4,1,1,1,56
4,16,1,1,1,56
24,24,3,1,3,112
12,24,1,1,1,112
8,24,1,1,1,112
24,24,3,2,3,112
12,24,1,2,1,112
8,24,1,2,1,112
24,24,1,1,1,112
24,6,1,1,1,112
6,24,1,1,1,112
24,24,3,1,3,56
12,24,1,1,1,56
8,24,1,1,1,56
24,24,3,2,3,56
12,24,1,2,1,56
8,24,1,2,1,56
24,24,1,1,1,56
24,6,1,1,1,56
6,24,1,1,1,56
32,32,3,1,4,112
16,32,1,1,1,112
10,32,1,1,1,112
32,32,3,2,4,112
16,32,1,2,1,112
10,32,1,2,1,112
32,32,1,1,1,112
32,8,1,1,1,112
8,32,1,1,1,112
32,32,3,1,4,56
16,32,1,1,1,56
10,32,1,1,1,56
32,32,3,2,4,56
16,32,1,2,1,56
10,32,1,2,1,56
32,32,1,1,1,56
32,8,1,1,1,56
8,32,1,1,1,56
16,16,3,1,2,56
16,16,3,2,2,56
16,16,1,1,1,56
16,4,1,1,1,56
4,16,1,1,1,56
16,16,3,1,2,28
16,16,3,2,2,28
16,16,1,1,1,28
16,4,1,1,1,28
4,16,1,1,1,28
24,24,3,1,3,56
24,24,3,2,3,56
24,24,1,1,1,56
24,6,1,1,1,56
6,24,1,1,1,56
24,24,3,1,3,28
24,24,3,2,3,28
24,24,1,1,1,28
24,6,1,1,1,28
6,24,1,1,1,28
32,32,3,1,4,56
32,32,3,2,4,56
32,32,1,1,1,56
32,8,1,1,1,56
8,32,1,1,1,56
32,32,3,1,4,28
32,32,3,2,4,28
32,32,1,1,1,28
32,8,1,1,1,28
8,32,1,1,1,28
40,40,3,1,5,56
40,40,3,2,5,56
40,40,1,1,1,56
40,10,1,1,1,56
10,40,1,1,1,56
40,40,3,1,5,28
40,40,3,2,5,28
40,40,1,1,1,28
40,10,1,1,1,28
10,40,1,1,1,28
48,48,3,1,6,56
48,48,3,2,6,56
48,48,1,1,1,56
48,12,1,1,1,56
12,48,1,1,1,56
48,48,3,1,6,28
48,48,3,2,6,28
48,48,1,1,1,28
48,12,1,1,1,28
12,48,1,1,1,28
56,56,3,1,7,56
56,56,3,2,7,56
56,56,1,1,1,56
56,14,1,1,1,56
14,56,1,1,1,56
56,56,3,1,7,28
56,56,3,2,7,28
56,56,1,1,1,28
56,14,1,1,1,28
14,56,1,1,1,28
64,64,3,1,8,56
64,64,3,2,8,56
64,64,1,1,1,56
64,16,1,1,1,56
16,64,1,1,1,56
64,64,3,1,8,28
64,64,3,2,8,28
64,64,1,1,1,28
64,16,1,1,1,28
16,64,1,1,1,28
32,32,3,1,4,28
32,32,3,2,4,28
32,32,1,1,1,28
32,8,1,1,1,28
8,32,1,1,1,28
32,32,3,1,4,14
32,32,3,2,4,14
32,32,1,1,1,14
32,8,1,1,1,14
8,32,1,1,1,14
40,40,3,1,5,28
40,40,3,2,5,28
40,40,1,1,1,28
40,10,1,1,1,28
10,40,1,1,1,28
40,40,3,1,5,14
40,40,3,2,5,14
40,40,1,1,1,14
40,10,1,1,1,14
10,40,1,1,1,14
48,48,3,1,6,28
48,48,3,2,6,28
48,48,1,1,1,28
48,12,1,1,1,28
12,48,1,1,1,28
48,48,3,1,6,14
48,48,3,2,6,14
48,48,1,1,1,14
48,12,1,1,1,14
12,48,1,1,1,14
56,56,3,1,7,28
56,56,3,2,7,28
56,56,1,1,1,28
56,14,1,1,1,28
14,56,1,1,1,28
56,56,3,1,7,14
56,56,3,2,7,14
56,56,1,1,1,14
56,14,1,1,1,14
14,56,1,1,1,14
64,64,3,1,8,28
64,64,3,2,8,28
64,64,1,1,1,28
64,16,1,1,1,28
16,64,1,1,1,28
64,64,3,1,8,14
64,64,3,2,8,14
64,64,1,1,1,14
64,16,1,1,1,14
16,64,1,1,1,14
72,72,3,1,9,28
72,72,3,2,9,28
72,72,1,1,1,28
72,18,1,1,1,28
18,72,1,1,1,28
72,72,3,1,9,14
72,72,3,2,9,14
72,72,1,1,1,14
72,18,1,1,1,14
18,72,1,1,1,14
80,80,3,1,10,28
80,80,3,2,10,28
80,80,1,1,1,28
80,20,1,1,1,28
20,80,1,1,1,28
80,80,3,1,10,14
80,80,3,2,10,14
80,80,1,1,1,14
80,20,1,1,1,14
20,80,1,1,1,14
88,88,3,1,11,28
88,88,3,2,11,28
88,88,1,1,1,28
88,22,1,1,1,28
22,88,1,1,1,28
88,88,3,1,11,14
88,88,3,2,11,14
88,88,1,1,1,14
88,22,1,1,1,14
22,88,1,1,1,14
96,96,3,1,12,28
96,96,3,2,12,28
96,96,1,1,1,28
96,24,1,1,1,28
24,96,1,1,1,28
96,96,3,1,12,14
