in_channels,out_channels,kernel_size,stride,groups,hw
31,88,1,1,1,7
76,161,1,2,1,112
88,88,3,2,11,14
1085,1054,3,2,31,7
615,167,1,1,1,7
1776,393,1,1,1,7
1240,1440,3,2,40,7
15,30,1,1,1,112
17,25,3,1,1,112
216,216,3,2,27,7
160,160,3,2,8,14
2560,2560,3,2,32,7
3600,3600,3,2,36,7
147,140,3,2,7,28
2664,2640,3,2,24,7
175,173,1,1,1,7
4,10,3,1,1,112
374,369,1,1,1,28
608,2519,1,1,1,7
3967,3299,1,1,1,14
3168,3168,3,1,24,7
460,470,3,2,10,14
342,342,3,1,38,7
51,60,1,1,1,112
3184,576,1,1,1,28
248,248,3,2,4,56
56,56,3,2,8,14
75,133,1,2,1,112
20,48,1,2,1,112
36,48,3,1,2,56
758,221,1,1,1,56
152,176,3,2,2,56
1827,1827,3,1,29,7
2520,2520,3,2,42,14
3,5,1,1,1,112
7,15,3,1,1,112
3232,3232,3,1,32,7
744,405,1,1,3,14
3182,3182,3,1,37,7
16,35,1,1,1,56
1437,1258,1,1,1,7
1437,372,1,1,1,28
2040,2006,3,1,34,14
138,198,1,2,1,56
368,348,1,1,4,14
3600,3525,3,2,25,14
287,246,3,1,41,7
154,50,1,1,1,7
267,352,1,1,1,112
453,258,1,1,1,112
42,39,3,2,3,56
3276,3234,3,2,42,7
21,32,1,1,1,7
236,122,1,1,1,56
3632,3664,1,1,1,14
21,31,3,2,1,56
923,810,1,1,1,14
2346,1002,1,1,1,7
296,312,1,1,2,28
957,244,1,1,1,7
208,296,1,2,2,56
108,104,3,2,4,56
222,222,3,1,37,7
150,1377,1,1,1,28
481,1744,1,1,1,14
814,814,3,2,11,14
167,86,1,1,1,56
1428,1411,3,1,17,14
1008,1008,3,2,14,14
756,756,3,1,18,14
551,522,3,1,29,14
972,954,3,2,6,28
106,58,1,1,1,14
282,1336,1,1,1,28
199,912,1,1,1,14
464,832,1,2,4,14
509,530,1,1,1,56
2544,2128,1,1,1,56
679,1296,1,1,1,28
36,36,3,2,2,112
150,150,3,2,10,14
3838,3838,3,1,38,7
364,533,3,2,13,7
3403,3362,3,1,41,14
3172,3046,1,1,1,7
1552,367,1,1,1,14
340,137,1,1,1,56
1117,272,1,1,1,14
1850,375,1,1,1,7
1495,1495,3,2,23,7
3578,3393,1,1,1,7
40,40,3,2,4,56
1930,1897,1,1,1,56
571,174,1,1,1,14
1224,1206,3,1,9,28
220,215,3,1,5,28
54,71,1,1,1,7
135,130,3,1,5,28
350,340,3,1,5,56
2885,621,1,1,1,14
1561,1585,1,1,1,14
11,30,1,2,1,112
3080,3036,3,2,22,14
1119,291,1,1,1,56
49,40,1,1,1,28
1248,1248,3,1,16,14
174,97,1,1,1,56
224,336,1,2,2,56
2172,477,1,1,1,14
33,39,3,1,3,14
609,609,3,1,21,14
840,786,3,1,3,112
147,165,3,2,3,112
3075,3034,3,2,41,14
175,106,1,1,1,112
2871,2871,3,2,29,7
368,360,3,2,8,28
2214,915,1,1,1,7
1077,1089,3,1,3,112
103,119,1,1,1,28
144,144,3,2,4,28
426,357,3,2,3,112
18,26,1,2,1,112
918,918,3,1,17,14
874,874,3,2,38,14
282,988,1,1,1,7
632,2339,1,1,1,28
57,128,1,2,1,112
3510,3510,3,2,26,7
2600,2560,3,1,40,14
13,18,1,1,1,56
2542,2501,3,2,41,7
1295,1340,3,1,5,112
610,605,3,1,5,112
2898,2856,3,1,42,14
189,174,3,2,3,112
24,42,1,1,1,112
3370,3302,1,1,1,7
1827,1806,3,2,21,7
284,304,1,1,2,28
1372,1372,3,2,14,14
270,260,3,1,10,14
193,265,1,2,1,56
434,95,1,1,1,7
693,679,3,1,7,28
1440,1380,3,1,15,14
45,89,1,1,1,28
185,148,3,2,37,7
1848,1764,3,2,42,7
528,528,3,2,22,7
792,776,3,2,8,28
480,504,1,1,8,14
2499,2499,3,1,21,7
270,265,3,2,5,56
627,627,3,2,19,7
168,112,1,1,1,112
820,830,3,2,10,28
934,344,1,1,1,56
1760,1880,3,2,40,7
1600,1560,3,1,40,7
960,960,3,2,40,7
3141,3114,1,1,1,7
196,258,1,1,1,56
1327,347,1,1,1,56
2960,2944,3,1,16,14
350,340,3,2,5,28
45,36,1,1,1,56
3838,3838,3,2,38,7
6,11,3,1,1,112
485,329,1,1,1,112
710,700,3,1,10,14
140,140,3,1,14,7
1627,481,1,1,1,7
1763,1722,3,1,41,7
1872,1836,3,1,36,14
1106,982,1,1,1,56
1521,1521,3,2,39,7
3079,632,1,1,1,14
84,84,3,1,3,56
74,58,1,1,1,112
567,564,3,1,3,112
3318,3276,3,1,42,7
3916,1171,1,1,1,14
2360,2320,3,1,40,14
1320,1214,1,1,1,56
2747,2706,3,1,41,14
154,132,3,2,22,14
238,291,1,1,1,7
5,10,1,1,1,112
3380,3350,3,2,10,28
682,164,1,1,1,7
118,279,1,1,1,112
1056,1084,1,1,1,7
3330,3300,3,1,15,14
244,303,1,2,1,112
2208,2185,3,1,23,7
2484,2448,3,2,36,14
80,76,3,2,2,112
3840,3840,3,2,40,7
1328,263,1,1,1,7
704,203,1,1,1,56
2418,2387,3,1,31,14
14,22,1,1,1,112
124,188,1,1,1,112
1812,433,1,1,1,28
131,206,1,1,1,56
156,281,1,2,1,56
1361,386,1,1,1,56
2957,2936,1,1,1,28
101,475,1,1,1,56
55,61,1,2,1,112
61,134,1,2,1,112
26,39,1,1,1,112
1089,1089,3,1,33,14
2,2,3,1,1,112
1604,752,1,1,2,14
2886,2849,3,2,37,14
77,32,1,1,1,7
2140,2120,3,2,10,28
636,1954,1,1,1,56
140,126,3,1,14,7
2622,2390,1,1,1,28
56,56,3,1,2,56
2200,2200,3,2,25,14
244,236,3,2,4,56
900,900,3,2,6,28
151,187,1,2,1,112
726,726,3,2,22,14
140,140,3,2,14,14
826,245,1,1,1,28
77,50,1,1,1,14
3,4,1,1,1,7
1435,1400,3,1,35,14
38,40,3,2,1,112
1072,1072,1,1,1,14
128,120,3,1,8,14
799,228,1,1,1,28
62,170,1,1,1,14
323,304,3,2,19,14
117,128,1,2,1,112
120,112,3,1,4,56
144,257,1,2,1,56
363,128,1,1,1,28
359,75,1,1,1,7
2714,2548,1,1,1,7
306,354,1,2,2,56
924,924,3,1,28,14
1224,1197,3,1,9,28
200,248,1,2,2,112
1956,2523,1,1,1,7
89,212,1,2,1,56
336,336,3,1,24,14
332,1266,1,1,1,7
2803,2442,1,1,1,56
322,695,1,1,1,7
315,300,3,1,15,14
